Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-July-2025,3471.40,3491.45,3458.65,3485.25,3473.665144534594528478,24527,2988,85198585.00,14008,57.11,32.80,13.85
22-July-2025,3519.45,3519.45,3455.85,3465.25,3466.293640251645769169,68509,3034,237472311.00,51276,74.85,63.60,-54.20
21-July-2025,3460.15,3507.15,3444.40,3502.75,3489.262949066287143658,115935,6118,404527700.00,97024,83.69,62.75,42.60
18-July-2025,3498.95,3498.95,3450.50,3464.10,3463.532783639295109325,70706,4850,244892549.00,47521,67.21,48.45,-34.85
17-July-2025,3520.00,3520.00,3467.25,3474.30,3479.524557144616250637,113694,7823,395601065.00,97812,86.03,52.75,-45.70
16-July-2025,3500.20,3514.25,3476.45,3501.70,3494.777301582186704475,124132,7623,433813696.00,102778,82.80,37.80,1.50
15-July-2025,3522.70,3522.70,3482.00,3494.60,3495.749562897672993384,55479,2816,193940690.00,44821,80.79,40.70,-28.10
14-July-2025,3540.55,3540.90,3487.35,3496.15,3502.762696435415868148,20872,2361,73109663.00,12468,59.74,53.55,-44.40
11-July-2025,3573.00,3587.00,3536.05,3540.55,3553.589948938457403923,18605,2176,66114541.00,9285,49.91,50.95,-32.45
10-July-2025,3578.10,3589.55,3570.00,3574.40,3579.528681037632444282,27370,1667,97971700.00,22327,81.57,19.55,-3.70
9-July-2025,3613.90,3613.90,3569.00,3578.10,3579.376908729919980747,83105,2805,297464118.00,71752,86.34,44.90,-35.80
8-July-2025,3580.00,3615.25,3560.00,3605.70,3598.568511443225518830,240011,7207,863696027.00,28641,11.93,55.25,25.70
7-July-2025,3593.90,3609.00,3576.00,3581.20,3588.322952789699570815,29125,3080,104509906.00,11621,39.90,33.00,-12.70
4-July-2025,3583.70,3598.00,3571.00,3593.70,3585.289224985193260143,116501,8647,417689780.00,11402,9.79,27.00,10.00
3-July-2025,3610.10,3624.90,3576.10,3582.60,3600.587815621316458837,32238,3761,116075750.00,14229,44.14,48.80,-27.50
2-July-2025,3663.10,3675.25,3585.00,3597.40,3617.784384114875476778,49027,4926,177369115.00,27353,55.79,90.25,-65.70
1-July-2025,3658.75,3679.85,3645.75,3666.70,3665.856994309072189239,195223,9630,715659600.00,18339,9.39,34.10,7.95
